,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
50,LongJump,0.0,jumping,down,walk,hurdle,rope,rope bridge,waiting room,underwater ocean deep,cliff,hot spring
34,HammerThrow,0.0,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
44,JavelinThrow,0.0,javelin,thrower,grenade,monkey-wrench,dart,ball pit,baseball field,athletic field outdoor,bow window indoor,football field
46,JumpRope,0.0,rope,jumping,bungee,parachute,ledge,rope bridge,cliff,ball pit,raft,bow window indoor
47,JumpingJack,0.0,jumping,jack,jack,jack,jack,rope bridge,swimming hole,ball pit,cliff,landing deck
51,Lunges,0.0,dumbbell,barbell,cartwheel,leg,leg,ball pit,elevator door,rope bridge,martial arts gym,bowling alley
56,ParallelBars,0.0,parallel,bar,bar,bar,strip,bar,sushi bar,wet bar,street,rope bridge
59,PlayingDaf,0.0,piano,violin,clarinet,lute,bongo,soccer field,orchestra pit,football field,music studio,synagogue outdoor
60,PlayingDhol,0.0,violin,flute,bagpipe,tambourine,harmonium,music studio,arena hockey,football field,soccer field,orchestra pit
68,PommelHorse,0.0,horse,horse,horseman,dressage,equine,barn,arena rodeo,corral,pasture,racecourse
31,FrontCrawl,0.0,front,back,back,back,down,elevator door,porch,doorway outdoor,ball pit,engine room
69,PullUps,0.0,pull,hook,hook,hook,hook,ball pit,rope bridge,lock chamber,assembly line,clean room
71,PushUps,0.0,pull,tamp,button,ratchet,down,assembly line,lock chamber,ball pit,wave,elevator door
73,RockClimbingIndoor,0.0,rock,rock,climber,crag,mountain,rock arch,mountain,cliff,crevasse,canyon
76,SalsaSpin,0.0,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
81,Skijet,0.0,jet,skiing,snowboard,skier,snowmobile,ski resort,ski slope,airplane cabin,chalet,hunting lodge outdoor
85,StillRings,0.0,still,ring,ring,remains,bell,boxing ring,jewelry shop,rope bridge,waiting room,phone booth
89,TableTennisShot,0.0,tennis,table,table,volleyball,volleyball,volleyball court outdoor,basketball court indoor,bow window indoor,ball pit,swimming pool outdoor
92,ThrowDiscus,0.0,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
