,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
50,LongJump,0.0,jumping,down,walk,hurdle,rope,rope bridge,waiting room,underwater ocean deep,cliff,hot spring
31,FrontCrawl,0.0,front,back,back,back,down,elevator door,porch,doorway outdoor,ball pit,engine room
34,HammerThrow,0.0,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
44,JavelinThrow,0.0,javelin,thrower,grenade,monkey-wrench,dart,ball pit,baseball field,athletic field outdoor,bow window indoor,football field
46,JumpRope,0.0,rope,jumping,bungee,parachute,ledge,rope bridge,cliff,ball pit,raft,bow window indoor
47,JumpingJack,0.0,jumping,jack,jack,jack,jack,rope bridge,swimming hole,ball pit,cliff,landing deck
51,Lunges,0.0,dumbbell,barbell,cartwheel,leg,leg,ball pit,elevator door,rope bridge,martial arts gym,bowling alley
56,ParallelBars,0.0,parallel,bar,bar,bar,strip,bar,sushi bar,wet bar,street,rope bridge
59,PlayingDaf,0.0,piano,violin,clarinet,lute,bongo,soccer field,orchestra pit,football field,music studio,synagogue outdoor
60,PlayingDhol,0.0,violin,flute,bagpipe,tambourine,harmonium,music studio,arena hockey,football field,soccer field,orchestra pit
69,PullUps,0.0,pull,hook,hook,hook,hook,ball pit,rope bridge,lock chamber,assembly line,clean room
70,Punch,0.0,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
71,PushUps,0.0,pull,tamp,button,ratchet,down,assembly line,lock chamber,ball pit,wave,elevator door
73,RockClimbingIndoor,0.0,rock,rock,climber,crag,mountain,rock arch,mountain,cliff,crevasse,canyon
76,SalsaSpin,0.0,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
81,Skijet,0.0,jet,skiing,snowboard,skier,snowmobile,ski resort,ski slope,airplane cabin,chalet,hunting lodge outdoor
85,StillRings,0.0,still,ring,ring,remains,bell,boxing ring,jewelry shop,rope bridge,waiting room,phone booth
89,TableTennisShot,0.0,tennis,table,table,volleyball,volleyball,volleyball court outdoor,basketball court indoor,bow window indoor,ball pit,swimming pool outdoor
92,ThrowDiscus,0.0,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
95,UnevenBars,0.0,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
30,FrisbeeCatch,0.0,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
23,CricketShot,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
100,YoYo,0.0,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
1,ApplyLipstick,0.0,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
12,BlowDryHair,0.0,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
9,BenchPress,0.0,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
17,BoxingSpeedBag,0.0,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
4,BalanceBeam,0.0,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
18,BreastStroke,0.0,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
20,CleanAndJerk,0.0,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
35,Hammering,0.007142857142857143,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
98,WallPushups,0.007692307692307693,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
39,HighJump,0.008130081300813009,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
90,TaiChi,0.01,guan,gong,,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
96,VolleyballSpiking,0.017241379310344827,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
45,JugglingBalls,0.024793388429752067,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
55,Nunchucks,0.030303030303030304,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
83,SoccerJuggling,0.034013605442176874,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
38,HeadMassage,0.034013605442176874,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
78,Shotput,0.034722222222222224,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
28,FieldHockeyPenalty,0.05555555555555555,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
19,BrushingTeeth,0.07633587786259542,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
36,HandstandPushups,0.078125,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
57,PizzaTossing,0.07964601769911504,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
37,HandstandWalking,0.08108108108108109,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
8,BasketballDunk,0.09923664122137404,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
74,RopeClimbing,0.13445378151260504,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
49,Knitting,0.13821138211382114,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
68,PommelHorse,0.13821138211382114,horse,horse,horseman,dressage,equine,barn,arena rodeo,corral,pasture,racecourse
97,WalkingWithDog,0.13821138211382114,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
24,CuttingInKitchen,0.14545454545454545,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
67,PoleVault,0.1476510067114094,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
54,MoppingFloor,0.18181818181818182,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
53,Mixing,0.22058823529411764,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
42,HulaHoop,0.24,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
99,WritingOnBoard,0.25,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
52,MilitaryParade,0.256,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
16,BoxingPunchingBag,0.26993865030674846,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
65,PlayingTabla,0.2702702702702703,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
88,Swing,0.3053435114503817,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
82,SkyDiving,0.3181818181818182,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
14,BodyWeightSquats,0.36607142857142855,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
22,CricketBowling,0.3669064748201439,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
3,BabyCrawling,0.3712121212121212,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
48,Kayaking,0.375886524822695,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
21,CliffDiving,0.38405797101449274,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
