,action_name,accuracy,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
50,LongJump,0.0,jumping,down,walk,hurdle,rope,rope bridge,waiting room,underwater ocean deep,cliff,hot spring
35,Hammering,0.0,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
38,HeadMassage,0.0,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
39,HighJump,0.0,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
44,JavelinThrow,0.0,javelin,thrower,grenade,monkey-wrench,dart,ball pit,baseball field,athletic field outdoor,bow window indoor,football field
45,JugglingBalls,0.0,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
46,JumpRope,0.0,rope,jumping,bungee,parachute,ledge,rope bridge,cliff,ball pit,raft,bow window indoor
47,JumpingJack,0.0,jumping,jack,jack,jack,jack,rope bridge,swimming hole,ball pit,cliff,landing deck
51,Lunges,0.0,dumbbell,barbell,cartwheel,leg,leg,ball pit,elevator door,rope bridge,martial arts gym,bowling alley
55,Nunchucks,0.0,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
56,ParallelBars,0.0,parallel,bar,bar,bar,strip,bar,sushi bar,wet bar,street,rope bridge
59,PlayingDaf,0.0,piano,violin,clarinet,lute,bongo,soccer field,orchestra pit,football field,music studio,synagogue outdoor
60,PlayingDhol,0.0,violin,flute,bagpipe,tambourine,harmonium,music studio,arena hockey,football field,soccer field,orchestra pit
66,PlayingViolin,0.0,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
68,PommelHorse,0.0,horse,horse,horseman,dressage,equine,barn,arena rodeo,corral,pasture,racecourse
69,PullUps,0.0,pull,hook,hook,hook,hook,ball pit,rope bridge,lock chamber,assembly line,clean room
70,Punch,0.0,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
71,PushUps,0.0,pull,tamp,button,ratchet,down,assembly line,lock chamber,ball pit,wave,elevator door
73,RockClimbingIndoor,0.0,rock,rock,climber,crag,mountain,rock arch,mountain,cliff,crevasse,canyon
74,RopeClimbing,0.0,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
76,SalsaSpin,0.0,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
81,Skijet,0.0,jet,skiing,snowboard,skier,snowmobile,ski resort,ski slope,airplane cabin,chalet,hunting lodge outdoor
83,SoccerJuggling,0.0,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
85,StillRings,0.0,still,ring,ring,remains,bell,boxing ring,jewelry shop,rope bridge,waiting room,phone booth
89,TableTennisShot,0.0,tennis,table,table,volleyball,volleyball,volleyball court outdoor,basketball court indoor,bow window indoor,ball pit,swimming pool outdoor
92,ThrowDiscus,0.0,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
95,UnevenBars,0.0,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
96,VolleyballSpiking,0.0,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
34,HammerThrow,0.0,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
31,FrontCrawl,0.0,front,back,back,back,down,elevator door,porch,doorway outdoor,ball pit,engine room
100,YoYo,0.0,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
20,CleanAndJerk,0.0,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
12,BlowDryHair,0.0,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
30,FrisbeeCatch,0.0,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
17,BoxingSpeedBag,0.0,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
4,BalanceBeam,0.0,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
18,BreastStroke,0.0,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
19,BrushingTeeth,0.0,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
23,CricketShot,0.0,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
9,BenchPress,0.0,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
1,ApplyLipstick,0.0,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
14,BodyWeightSquats,0.008928571428571428,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
78,Shotput,0.013888888888888888,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
42,HulaHoop,0.024,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
